Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PRIVATE,WA,ABBOTSFORD PRIVATE HOSPITAL,0075130L,61-69 CAMBRIDGE STREET,WEST LEEDERVILLE,6007,YES,19-04-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,ACT,ACT ENDOSCOPY,0097040K,2/70 KENT STREET,DEAKIN,2600,YES,05-07-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ADELAIDE AMBULATORY DAY SURGERY,0067240H,"SUITES 10 A & B, LEVEL 1, 50 HUTT STREET",ADELAIDE,5000,YES,27-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ADELAIDE CITY EAST DAY HOSPITAL,0067180B,309 WAKEFIELD ST,ADELAIDE,5000,YES,15-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ADELAIDE DAY SURGERY,0658181F,18 NORTH TERRACE,ADELAIDE,5000,YES,08-01-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ADELAIDE SURGICENTRE,0999771L,89 KING WILLIAM ST,KENT TOWN,5067,YES,06-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,ADULT PREVENTION & RECOVERY CARE (A-PARC),0032140K,1 BEACH STREET,FRANKSTON,3199,NO,,
PRIVATE,NSW,AESTHETIC DAY SURGERY,0896271A,14 KENSINGTON STREET,KOGARAH,2217,YES,23-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,ALBANY COMMUNITY HOSPICE,0075520Y,30 WARDEN AVE,ALBANY,6330,YES,04-12-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,WA,ALBANY DAY HOSPITAL,0077290B,6 LUBICH WAY,MIRA MAR,6330,YES,10-02-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
